query,dynFromId,meta,left,keyword,right
瞪,16,Tang-元氏長慶集-卷六十,塵膩泥濜珠玉糞土名位,瞪,凡流傾心俊異譽如不聞
瞪,16,Tang-酉陽雜俎-續集卷一·支諾皋上,隨至，聲繞草積數匝，,瞪,相視鵠所潛處，忽變為
瞪,16,Tang-白氏長慶集-卷三十六, 水淺魚稀白鷺飢勞心,瞪,待魚時外容閒暇中心苦
瞪,16,Tang-李太白文集-卷二十四,禽獸竒形異模勢若飛動,瞪,睢盱明君暗主忠臣烈夫
瞪,16,Tang-李太白集分類補註-卷一,禽獸奇形異模勢若飛動,瞪,{直證切}}眄{{匹
瞪,16,Tang-李太白集分類補註-卷一,禽獸奇形異模勢若飛動,瞪,{直證切}}眄{{匹
瞪,16,Tang-李太白集分類補註-卷四,群羽族争噬共搏此鷹獨,瞪,逺瞻俄而雲際有一物翺
瞪,16,Tang-李太白集分類補註-卷四,群羽族争噬共搏此鷹獨,瞪,逺瞻俄而雲際有一物翺
瞪,16,Tang-讒書-讒書卷第四,入其中，不若吾立塊而,瞪,不通關竅，設無靈，何
瞪,16,Tang-歐陽行周文集-卷一,彚大同白日三舍以逡巡,瞪,征以融融南山萬歲以爭
瞪,16,Tang-晉書-列傳第二十四,，危機將發，而方偃仰,瞪,，謂足以夸世，笑古人
瞪,16,Tang-晉書-列傳第六十四,竹並奏，試使呼之。文,瞪,不轉，跨躡華堂如行林
瞪,16,Tang-朱文公校昌黎先生文集-卷第四,}}何人可㰎翫清景空,瞪,{宅耕切直視又}}{
瞪,16,Tang-朱文公校昌黎先生文集-卷第四,}}{{登應切選偃仰,瞪,}}視  晚菊  少
瞪,16,Tang-沈下賢文集-卷第二,流融光巫●旋兮覡䄂翔,瞪,凝兮覧廻楊語神歡兮酒
瞪,16,Tang-太白陰經-卷三,目直視無情好殺豬目應,瞪,禍相仍亦小貴蜂目豺聲
瞪,16,Tang-權文公集-卷一,金波流玉徽忘言我造適,瞪,君無違但令靜勝躁自使
瞪,16,Tang-初學記-卷十六,徙迤魚瞰雞睨垂喙蜿轉,瞪,忘食鳳飛已見上}}薊
瞪,16,Tang-温庭筠詩集-卷第一,客散杏花多脈脈新蟾如,瞪,  蓮浦謡  鳴橈軋
瞪,16,Tang-温庭筠詩集-卷第二,里但有沉冥醉客家支頥,瞪,持流霞唯恐南園風雨作
瞪,16,Tang-集千家註杜工部詩集-卷八,之或時不巾嘗醉登武床,瞪,曰嚴挺之乃有此兒武衘
瞪,16,Tang-五百家注昌黎文集-卷四,}}何人可攜翫清景空,瞪,{{瞪視直視也祝曰選
瞪,16,Tang-五百家注昌黎文集-卷四,可攜翫清景空瞪視{{,瞪,直視也祝曰選偃仰瞪眄
瞪,16,Tang-五百家注昌黎文集-卷四,瞪視直視也祝曰選偃仰,瞪,○瞪澄應切又宅耕切}
