query,dynFromId,meta,left,keyword,right
睜,21,Liao-龍龕手鑑-卷四,目小也又視不正也}},睜,{疾井反昭睜不悅視也
睜,21,Liao-龍龕手鑑-卷四,也}}睜{{疾井反昭,睜,悅視也}}眫{{俗}
睜,23,Yuan-朝野新聲太平樂府-卷三,小哥哥腆着臉不怕風波,睜,眼撞入天羅䧺紏紏持劍
睜,23,Yuan-朝野新聲太平樂府-卷七,誰共語謾嗟吁何如尾眼,睜,怎忍分飛去痛殺我也吹
睜,23,Yuan-朝野新聲太平樂府-卷七,共語謾嗟吁何如尾眼睜,睜,忍分飛去痛殺我也吹簘
睜,23,Yuan-朝野新聲太平樂府-卷九,下瓦里覔了舟它道眼睁,睜,死無人救比怕閏羅王罪
睜,20,Song-舊五代史-太祖紀六,，帝曰：「宿將也。？,睜,之，以劉重霸代其任。
睜,20,Song-桯史-卷八,障礙。虯髯捻斷，星眸,睜,，惟恨劍鋒不快。一揮
睜,20,Song-集韻-卷六,說文清節也古作●}},睜,{{字林眧睜不恱視也
睜,20,Song-集韻-卷六,●}}睜睛{{字林眧,睜,恱視也或从青}}阱穽
睜,18,Northern Song-廣韻-上聲,也。疾郢切，十。  ,睜,眳睜不恱視也。  𩇕
睜,18,Northern Song-廣韻-上聲,郢切，十。  睜：眳,睜,恱視也。  𩇕：淸飾
睜,18,Northern Song-太平御覽-布帛部六,合，輕騎挑戰。侯安都,睜,橫矛，單騎突陣，四向
睜,18,Northern Song-太平御覽-飲食部四,為瘦。」真愈恚，拔刀,睜,，言：「俳敢輕說，吾
睜,18,Northern Song-太平御覽-咎徵部三,三年二月，大風暴雨，,睜,怗門。至六年，壽死，
睜,18,Northern Song-太平御覽-咎徵部七,地震，臣下強盛，地故,睜,匽，冀所以警悟人主，
瞪,20,Song-詩話總龜後集-詩話總龜後集,顰蹙數日。人有問者，,瞪,不答。一日，方乘驢游
瞪,20,Song-詩話總龜後集-詩話總龜後集,絕色殊藝。杜獨坐南行,瞪,注視，滿引三卮，問李
瞪,20,Song-元豐類藁-卷四,激射隂霰聚此勢復可言,瞪,空薄暮九月九日  淒
瞪,19,Southern Song-磻溪集-磻溪集卷一,臨水登山跨曉風，虛心,瞪,{丈證切}}目俯秋空
瞪,19,Southern Song-磻溪集-磻溪集卷四,  一上蓬萊閣，虛心,瞪,遙。雲移山自長，水到
瞪,20,Song-吳郡志-吳郡志卷第十二,作樂}}香來無定處目,瞪,有待魂斷空無語雲雨竟
瞪,20,Song-吳郡志-吳郡志卷第四十九,被留汲古本被作彼}},瞪,惟嗟咨及還城中居城人
瞪,20,Song-蘇學士集-卷四,把酒先嘻嘻杖屨閲竒怪,瞪,惟嗟咨及還城中居城人
瞪,23,Yuan-九靈山房集-卷二十七,炭燃銅筯一二枚烈火中,瞪,視翁曰此兒病癰發小腸
瞪,20,Song-文苑英華-卷二十九,雄心震躍灑珠汗以雹散,瞪,眸而電落将欲㫁煙靄排
瞪,20,Song-文苑英華-卷五十九,彚大同白日三舎以逡廵,瞪,征以融融南山萬嵗以争
瞪,20,Song-文苑英華-卷八十二,五行超諸百戯誤穿節以,瞪,從聲幹於奮臂如令居杞
瞪,20,Song-文苑英華-卷九十八,之兮詳{{一作佯}},瞪,而不肯聽欲釋去而不忍
瞪,20,Song-文苑英華-卷一百九,一作兮字}}寄雄心於,瞪,嗟乎石以砥焉化鈍為利
瞪,20,Song-文苑英華-卷一百十七,居常者駭異輕薄者居厚,瞪,盱之拙目鉗胡盧之笑口
瞪,20,Song-文苑英華-卷一百三十一,食豐草以垂鼻出平林而,瞪,逍遥乎存存之鄉保守乎
瞪,20,Song-文苑英華-卷一百三十一,石兮和氣內含勿齊首以,瞪,乍脉脉而耽耽威而不猛
瞪,20,Song-文苑英華-卷一百三十八,或振羽以將鳴或峩冠而,瞪,囂囂煩耳紛紛撲地安知
瞪,20,Song-文苑英華-卷一百四十二,其他清露醒後遶砌聲多,瞪,凝聽傷如之何去嵗良人
瞪,20,Song-文苑英華-卷一百八十六,依稀沉極浦想像在中流,瞪,思清淺褰裳恨暗投徒㸔
瞪,20,Song-文苑英華-卷三百五十八,流融光巫裾旋兮覡袖翔,瞪,凝兮鑒廻陽{{集作覧
瞪,20,Song-文苑英華-卷三百七十二,其逸也雞不省猶張拳勢,瞪,眸咬咬争鳴剛獝突如隣
瞪,20,Song-文苑英華-卷七百十一,而歌婆然而舞持頥而笑,瞪,而倨不知日之將暮則於
瞪,20,Song-文苑英華-卷七百十六,心同於內跡脗於外交臂,瞪,吾喪我於此亭者一生幾
瞪,20,Song-文苑英華-卷八百十三,盪雖篙工檝師駢臂束立,瞪,而已何能為焉雖仰索挽
瞪,20,Song-小畜集-卷三十,生誕誕生瓊瓊生柞祚生,瞪,公為顯考公十嵗而孤母
瞪,20,Song-玉壺野史-卷第九,安始覺，左右盡凝立，,瞪,前視，無一夫警者。安
瞪,20,Song-閬風集-卷六,風行  攬秋  讀書,瞪,眼花亂力穡作勞足蠒休
瞪,23,Yuan-國朝文類-卷第二十九,易圗圗除其卦五十有六,瞪,視之首擊而尾應迎而存
瞪,20,Song-漫塘集-卷四,經笥邊舉頭急雪風中旋,瞪,不見山之巔八牎玲瓏繡
瞪,20,Song-石門文字禪-卷一,吹凍耳入門兒女啼飢寒,瞪,瞠然作直視  送英老
瞪,20,Song-石門文字禪-卷八,祖在面前笑不成聲兩目,瞪,兒化去聊折災婦翁告殂
瞪,22,Jin-儒門事親-卷四,二  夫癇病不至於目,瞪,愚者，用三聖散投之。
瞪,22,Jin-儒門事親-卷四,百餘日則愈矣。至於目,瞪,者，不可治。《內經》
瞪,22,Jin-儒門事親-卷五,如拽鋸，不省人事，目,瞪,急，將欲死者，《內經
瞪,22,Jin-儒門事親-卷七　外傷形,男子落馬發狂，起則目,瞪,狂言不識親疏，棄衣而
瞪,22,Jin-儒門事親-卷十一,如拽鋸，不省人事，目,瞪,急，將欲死者，《內經
瞪,21,Liao-龍龕手鑑-卷四,𥌋澤也正作瞢字也}},瞪,{直耕直凌二反直視貌
瞪,20,Song-夷堅志-夷堅乙志,如不聞。即其側呼之。,瞪,不答。俄指向所用銅槃
瞪,20,Song-夷堅志-夷堅乙志,。白晝如有所見。張目,瞪,。連稱水水。移時方蘇
