query,dynFromId,meta,left,keyword,right
睜,24,Ming-呻吟語-修身,怕似渴睡漢，才喚醒時,睜,若有知，旋復沉困，竟
睜,24,Ming-字彙-十四,奴泥螚知{{端}}中,睜,屯珍砧{{張樁}}追
睜,24,Ming-字彙-十四,弩尼乃知{{端}}冢,睜,鎮碪長{{拄宁}}知
睜,24,Ming-字彙-十四,怒泥柰知{{端}}中,睜,鎮碪帳椿追著智膪媞徹
睜,24,Ming-熊龍峰小說四種-熊龍峰小說四種,向窗楞中一看，嚇得目,睜,呆，宛如酒醒夢覺。 
睜,24,Ming-龍江船廠志-龍江船廠志卷之六,於公門者，又方聚喙而,睜,焉，故匠工之所得者，
睜,24,Ming-西湖游覽志餘-西湖游覽志餘,障紛華總不迷到此更須,睜,眼好將慧力運金鎞  
睜,24,Ming-嬰童百問-卷之二脾風第十七問,也}}，發直搖頭，眼,睜,轉，涎鳴喘噎，口眼手
睜,24,Ming-二刻拍案驚奇-第一卷進香客莽看金剛經　出獄僧巧完法會分,，沒弄手腳處，只好共,睜,眼，望空仰看。但見：
睜,24,Ming-二刻拍案驚奇-第五卷襄敏公元宵失子　〸三郎五歲朝天,睡至天明，看看甦醒。,睜,看時，不知是那裡，但
睜,24,Ming-二刻拍案驚奇-第六卷李將軍錯認舅　劉氏女詭從夫,丈夫金定！礙著將軍眼,睜,在上面，不好上前相認
睜,24,Ming-二刻拍案驚奇-第六卷李將軍錯認舅　劉氏女詭從夫,夫金定！礙著將軍眼睜,睜,上面，不好上前相認，
睜,24,Ming-二刻拍案驚奇-第八卷沈將仕三千買笑錢　王朝議一夜迷魂陣,約有千金。諸姬個個目,睜,呆，面前一空。鄭十將
睜,24,Ming-二刻拍案驚奇-第九卷莽兒郎驚散新鶯燕　㑳梅香認合玉蟾蜍,該通書帖，又在樓上眼,睜,看我怎的？是他自家招
睜,24,Ming-二刻拍案驚奇-第九卷莽兒郎驚散新鶯燕　㑳梅香認合玉蟾蜍,通書帖，又在樓上眼睜,睜,我怎的？是他自家招風
