query,dynFromId,meta,left,keyword,right
瞪,26,Republican era-晚晴簃詩匯-卷九,東村  縱步副游情，,瞪,愜心賞。晚霽愛澄川，
瞪,26,Republican era-晚晴簃詩匯-卷十三,，蒼龍可麟可脯。興酣,瞪,叫怪哉，海波清淺不盈
瞪,26,Republican era-晚晴簃詩匯-卷十六,各不問苦愁，尚論淵玄,瞪,目。讀書祇恐後古人，
瞪,26,Republican era-晚晴簃詩匯-卷二十五,荒隧西風我重過，石人,瞪,雨滂沱。君不見燕昭墓
瞪,26,Republican era-晚晴簃詩匯-卷五十八,松篙。進尺還退寸，目,瞪,搖搖。勢平流忽散，巨
瞪,26,Republican era-晚晴簃詩匯-卷六十,言，乃畝乃宣乃疆理。,瞪,滄桑指一彈，銛鋒待截
瞪,26,Republican era-晚晴簃詩匯-卷六十四,仍歷歷。醉眼重摩挲，,瞪,三嘆息。古人構名園，
瞪,26,Republican era-晚晴簃詩匯-卷七十四,骨斷折腰膂。見人目先,瞪,得食咽反吐。不堪充虎
瞪,26,Republican era-晚晴簃詩匯-卷七十六,惡言不入緣耳聾，問事,瞪,神常聰。外人狎侮時取
瞪,26,Republican era-晚晴簃詩匯-卷七十八,風。湯瓶火急作蟹語，,瞪,大幛空複空。細思似有
瞪,26,Republican era-晚晴簃詩匯-卷七十八,世間餘子空自豪。摩挲,瞪,噤不語，當頭似有寒泉
瞪,26,Republican era-晚晴簃詩匯-卷八十二,從奴健足一舁去，顧我,瞪,如瘋麻。我口語心心語
瞪,26,Republican era-晚晴簃詩匯-卷八十二,眴，心惻無子牛壽。虎,瞪,耽耽，琥貓小更醜。伏
瞪,26,Republican era-晚晴簃詩匯-卷八十六,洞底橫，一白渾疑水。,瞪,下層崖，玉柱排銀齒。
瞪,26,Republican era-晚晴簃詩匯-卷九十,不可界。空闊危磯，,瞪,忘欠噫。磯影入雙流，
瞪,26,Republican era-晚晴簃詩匯-卷九十五,重嘆息，古光照人雙眼,瞪,背嵌翡翠色閃灼，柄刻
瞪,26,Republican era-晚晴簃詩匯-卷九十五,鬼磷碧，毛發淒緊晴雙,瞪,龍賓不出脈望死，畏此
瞪,26,Republican era-晚晴簃詩匯-卷一百三,靈境悅，樵青不解事，,瞪,複撟舌。何年噓氣成，
瞪,26,Republican era-晚晴簃詩匯-卷一百十七,逢，鮫人蛋人怒髮衝，,瞪,不敢偏師攻。赫赫重臣
瞪,26,Republican era-晚晴簃詩匯-卷一百十八,驚，牽裾坐對可憐生。,瞪,僕婢更何事，如此風波
瞪,26,Republican era-晚晴簃詩匯-卷一百二十一,極，劫燼餘灰此頑魄。,瞪,鴝鵒雙眼睛，閱盡滄桑
瞪,26,Republican era-晚晴簃詩匯-卷一百三十五,夜風蕭瑟吹短簷。忍飢,瞪,不可瞑，龍氣僨動拳毛
瞪,26,Republican era-晚晴簃詩匯-卷一百三十五,不能理。哆口啖官膳，,瞪,署紙尾。明時易登進，
瞪,26,Republican era-晚晴簃詩匯-卷一百七十七,重揚舲，舵師無語雙目,瞪,篷底熒熒明寒鐙。  
瞪,26,Republican era-晚晴簃詩匯-卷一百八十二,，文鰩鼓翼飛振振。龜,瞪,眸鰻九節，鱷長三丈鮐
瞪,26,Republican era-晚晴簃詩匯-卷一百八十四,時，長空淨埃壒。新蟾,瞪,目，餘霞抹紅帶。屋角
瞪,26,Republican era-晚晴簃詩匯-卷一百九十六,參差長。遙憶兒嬉日，,瞪,徒心傷。一思分我食，
眨,26,Republican era-晚晴簃詩匯-卷八十一,呼。杲卿其兄真卿弟，,眨,出公名不誣。其時天下
眨,26,Republican era-晚晴簃詩匯-卷九十八,我為壁上觀，目定不及,眨,名山讓公等，吾行荷鋤
眨,26,Republican era-晚晴簃詩匯-卷一百七,，高鳶折風抎。郡國坐,眨,，鄉路無遠近。轉愁水
瞎,26,Republican era-晚晴簃詩匯-卷一百十八,傷竟成憂樂正春。欲領,瞎,師棒喝，怕風愁雪又因
瞎,26,Republican era-晚晴簃詩匯-卷一百三十九,搔首意茫然。  太祝,瞎,翳，仲車聾有靈。海澄
瞎,26,Republican era-晚晴簃詩匯-卷一百九十五,海幢、丹霞諸剎。有《,瞎,詩集》。  *春佃 
瞎,26,Republican era-晚晴簃詩匯-卷一百九十六,，又號苦瓜和尚，又號,瞎,者，又號石公上人。靖
目眩,26,Republican era-晚晴簃詩匯-卷六,，風雨生瑤池。詎嫌心,目眩,祇覺精神移。軒翥亦已
目眩,26,Republican era-晚晴簃詩匯-卷七,湃。危樓足下生動搖，,目眩,忽飛洪濤。雲譎波詭浩
目眩,26,Republican era-晚晴簃詩匯-卷四十七,。莫測天地機，但覺心,目眩,倍看城市親，遙被舟楫
目眩,26,Republican era-晚晴簃詩匯-卷五十,膝代足，手捫那容杖。,目眩,回頭，坐稱時一放。精
目眩,26,Republican era-晚晴簃詩匯-卷五十一,司。縹緲空騰數百步，,目眩,敢低頭窺。發源西極昆
目眩,26,Republican era-晚晴簃詩匯-卷六十三,射晴霞，異光互回繞。,目眩,高峰，冥蒙林壑杳。舉
目眩,26,Republican era-晚晴簃詩匯-卷六十六,。芙蓉插空青，應接耳,目眩,雲竇窈以深，幽花爛且
目眩,26,Republican era-晚晴簃詩匯-卷六十七,還恐後，履險卻趨安。,目眩,飆疾，心懷奪錦難。長
