query,dynFromId,meta,left,keyword,right
睜,25,Qing-西遊原旨-第七回 八卦爐中逃大聖 五行山下定心猿  ,大聖只聽爐頭聲響，猛,睜,看見光明，忍不住將身
睜,25,Qing-西遊原旨-第二十一回 護法設莊留大聖 須彌靈吉定風魔 ,睛亂得緊緊閉合，莫能,睜,乎？噫！心有不明，而
睜,25,Qing-西遊原旨-第二十一回 護法設莊留大聖 須彌靈吉定風魔 ,」言其被他瞞過，即是,睜,瞎子。「呆子啞啞的笑
睜,25,Qing-西遊原旨-第三十一回 豬八戒義激猴王 孫行者智降妖怪  ,罪垢」也。「長老定性,睜,，才認得是行者。」一
睜,25,Qing-西遊原旨-第四十一回 心猿遭火敗 木母被魔擒  ,經？請菩薩降我，你大,睜,眼，不認得我是聖嬰大
睜,25,Qing-西遊原旨-第四十一回 心猿遭火敗 木母被魔擒  ,，而欲意誠心正，即是,睜,瞎子。識不得真心實意
睜,25,Qing-西遊原旨-第四十四回 法身元運逢車力 心正妖邪度脊關 ,事。「行者起到空中，,睜,觀看，見一座城池，倒
睜,25,Qing-林蘭香-第三十二回溫柔鄉里疏良朋　冷淡場中顯淑女,睡下。此後耿朗二目不,睜,足睡了半天一夜。次早
睜,25,Qing-林蘭香-第四十三回撫幼子繼居側室　承先人再結同心,了暑也！」春畹驚醒，,睜,看時，卻是愛娘手內拿
睜,25,Qing-林蘭香-第六十四回養正焚修隆一祠　伯宣夢警邯鄲道,心頭亂跳，冷汗滿身，,睜,看時，見一燈照耀，半
睜,25,Qing-吳三桂演義-吳三桂演義,得意，見延齡首級突然,睜,張口，躍然豎起，其頭
睜,25,Qing-水石緣-第十二章天風吹送入花源　佛子扳留住繡嶺,「這是那裡？」舟子呆,睜,眼道：「我知道是那裡
睜,25,Qing-水石緣-第二十二章柳絲設計賺狂且　梅萼避仇入庾嶺,一個個魂不附體。棘呆,睜,眼，說不出聲來。回身
睜,25,Qing-聊齋誌異-第三卷,即最豪，見廡中泥鬼，,睜,璃眼，甚光而巨，愛之
睜,25,Qing-碧苑壇經-碧苑壇經卷中,威威赫赫，戒刀齊頸，,睜,眼目動雷霆。外道心寒
睜,25,Qing-品花寶鑒-第六回顏夫人快訂良姻　梅公子初觀色界,氣結舌。唯把那隻眼睛,睜,了，狠狠的瞪著他滴淚
睜,25,Qing-品花寶鑒-第九回月夕燈宵萬花齊放　珠情琴思一面緣慳,「這些爺們實在可恨，,睜,大眼睛瞧人，難道他家
睜,25,Qing-品花寶鑒-第十八回狎客樓中教蔑片　妖娼門口唱楊枝,：俊郎君，天天門口眼,睜,，瞧得奴動情，盼得你
睜,25,Qing-品花寶鑒-第十八回狎客樓中教蔑片　妖娼門口唱楊枝,俊郎君，天天門口眼睜,睜,瞧得奴動情，盼得你眼
睜,25,Qing-品花寶鑒-第二十九回缺月重圓真情獨笑　群珠緊守離恨誰憐,把手拍他。那子玉忽然,睜,眼來，對著琴言道：「
睜,25,Qing-品花寶鑒-第三十六回小談心眾口罵珊枝　中奸計奮身碎玉鐲,的幾聲。聘才、和尚也,睜,的望著。聘才暗想道：
睜,25,Qing-品花寶鑒-第三十六回小談心眾口罵珊枝　中奸計奮身碎玉鐲,幾聲。聘才、和尚也睜,睜,望著。聘才暗想道：「
睜,25,Qing-品花寶鑒-第四十四回聽謠言三家人起釁　見惡札兩公子絕交,言漸漸的蘇來。兩眼一,睜,淚如泉湧。子雲等看了
睜,25,Qing-品花寶鑒-第四十七回奚〸一奇方修腎　潘其觀忍辱醫臀,此光景，甚是不解，眼,睜,的看著潘三，見他面紅
睜,25,Qing-品花寶鑒-第四十七回奚〸一奇方修腎　潘其觀忍辱醫臀,光景，甚是不解，眼睜,睜,看著潘三，見他面紅耳
睜,25,Qing-品花寶鑒-第五十回改戲文林春喜正譜　娶妓女魏聘才收場,剜破窗紙，閉著一眼，,睜,一眼，從窗隙裡望將出
睜,25,Qing-品花寶鑒-第五十六回屈方正成神托夢　侯太史假義恤孤,喲」一聲，原來是夢。,睜,看時，已是日高三丈，
睜,25,Qing-品花寶鑒-第五十六回屈方正成神托夢　侯太史假義恤孤,得遠遠的。石翁沒趣，,睜,了三角眼，瞅了他一會
睜,25,Qing-品花寶鑒-第五十八回奚〸一主僕遭惡報　潘其觀夫婦鬧淫魔,，親了一個嘴，慢慢的,睜,眼來，見是奚十一回來
睜,25,Qing-品花寶鑒-第五十八回奚〸一主僕遭惡報　潘其觀夫婦鬧淫魔,一聽了，火上添油，圓,睜,眼，大喝道：「你別支
睜,25,Qing-品花寶鑒-第五十八回奚〸一主僕遭惡報　潘其觀夫婦鬧淫魔,十一漸漸甦醒，把眼一,睜,見了菊花落淚滿面，心
睜,25,Qing-御定佩文韻府-卷四十五,如觀玉丨丨喜譏評}},睜,{{張師錫老兒詩怒僕
睜,25,Qing-御定佩文韻府-卷四十五,如觀玉丨丨喜譏評}},睜,{{張師錫老兒詩怒僕
睜,25,Qing-御訂全金詩增補中州集-卷首上,通天障礙髭髯撚斷星眸,睜,惟恨劍鋒不快一揮截斷
睜,25,Qing-竹葉亭雜記-卷五,拭目也。與客談，亦不,睜,，語喜詼諧。翰林院土
睜,25,Qing-西游記傳-猴王得仙賜姓,身，跳入瀑布泉中，忽,睜,抬頭，看見裡邊無水無
睜,25,Qing-西游記傳-觀音路降眾妖,到山下尋看，只見大聖,睜,火眼金睛。菩薩道：「
睜,25,Qing-西游記傳-孫悟空收妖救師,。睡至五更，行者抹臉,睜,，道：「果然好藥，比
睜,25,Qing-西游記傳-豬八戒思淫被難,行者、沙僧一覺睡醒，,睜,觀看，那有高樓大廈，
睜,25,Qing-西游記傳-唐三藏逐去孫行者,叨叨。忽然行者到了，,睜,火眼金睛一看，見是妖
