query,dynFromId,meta,left,keyword,right
䀹,8,Eastern Han-說文解字-卷五,匡也。从目此聲。  ,䀹,目㫄毛也。从目夾聲。
眨,8,Eastern Han-說文解字-卷五,瞼也。从目僉聲。  ,眨,動目也。从目乏聲。 
瞎,9,Han-纂圖互註禮記-卷第四,而藏○●徐他逹反又他,瞎,豺仕皆反罻音尉一音鬰
瞎,9,Han-纂圖互註禮記-卷第五,注以上同獺它逹反又他,瞎,重言●𥙊魚二前見王制
瞎,9,Han-纂圖互註禮記-卷第九,謂无髮為秃楬○楬徐苦,瞎,注同又苦八反献素何反
瞎,9,Han-纂圖互註禮記-卷第十一}},音桃椌苦江反柷也楬苦,瞎,敔也壎許袁反篪直支反
瞎,9,Han-纂圖互註禮記-卷第十八,}{{嗟反亦作耶貊亡,瞎,本亦作貊藏才浪反脾婢
瞎,8,Eastern Han-釋名-釋疾病,  瞍，縮壞也。  ,瞎,迄也，膚慕迄迫也。 
目眩,9,Han-華氏中藏經-012‧華氏中藏經,協助憂作滿小便難願開,目眩,肱急甚惡言微急氣在寶
目眩,9,Han-華氏中藏經-012‧華氏中藏經,痛協痛{{無字}}朮,目眩,滿囊縮小便不通{{併
目眩,9,Han-楊子法言-卷一至卷五,鬧主則不然口屯曰寺義,目眩,渭切眩眩小遠范屯滑拘
目眩,9,Han-淮南鴻烈解-003,滑其和{{蝯臨其岸而,目眩,滑滑亂和適也}}譬若
目眩,9,Han-楚辭章句-四,世}}克薨榮孝不遑寐,目眩,帝寤矜朝關關關訛雌{
目眩,4,Warring States-戰國策-燕策,左右既前斬荊軻，秦王,目眩,久。而論功賞群臣及當
目眩,6,Western Han-史記-列傳,  中庶子聞扁鵲言，,目眩,而不瞚，舌撟然而不下
目眩,6,Western Han-新語-資質,位，布陳宮堂，望之者,目眩,近之者鼻芳。故事閉之
目眩,8,Eastern Han-傷寒論-辨少陽病脈證并治,陽之病，口苦、咽乾、,目眩,。  少陽中風，兩耳
目眩,8,Eastern Han-傷寒論-辨不可發汗病脈證并治,微者難差；劇者言亂、,目眩,死，命將難全。  欬
目眩,8,Eastern Han-蔡中郎集-卷十一,在天。近而察之，心亂,目眩,奇姿譎誕，不可勝原。
目眩,8,Eastern Han-金匱要略-血痹虛勞病脈證并治,，小腹弦急，陰頭寒，,目眩,落，脈極虛芤遲，為清
目眩,4,Warring States-黃帝內經-素問,液，先唾血，四支清，,目眩,時時前後血，病名為何
目眩,4,Warring States-黃帝內經-素問,日入，夏日出。肝病頭,目眩,支滿，三日體重身痛，
目眩,4,Warring States-黃帝內經-素問,，民病面赤心煩，頭痛,目眩,，赤氣彰而溫病欲作也
目眩,4,Warring States-黃帝內經-素問,，民病面赤心煩，頭痛,目眩,，赤氣彰而熱病欲作也
目眩,4,Warring States-黃帝內經-靈樞經,時悗，眩已汗出，久則,目眩,悲以喜恐，短氣，不樂
目眩,4,Warring States-黃帝內經-靈樞經,，視主病者，則補之。,目眩,傾，補足外踝下留之；
目眩,4,Warring States-黃帝內經-靈樞經,則引目系急。目系急則,目眩,轉矣。邪其精，其精所
目眩,8,Eastern Han-風俗通義-十反,重疾，氣力羸露，耳聾,目眩,守虛隕越，自分奄忽填
目眩,9,Han-難經-經脈診候,病，前大後小，即頭痛,目眩,前小後大，即胸滿短氣
目眩,9,Han-難經-經脈診候,。  陰氣俱絕者，則,目眩,目瞑。目瞑者，為失志
瞋,9,Han-華氏中藏經-012‧華氏中藏經,不已一曰死欄蘆鯉畏八,瞋,欲眼精神不倚魂魄妄亂
瞋,6,Western Han-輶軒使者絕代語釋別國方言-卷六,侗}}轉目也梁益之閒,瞋,曰矔轉目顧視亦曰矔吳
瞋,6,Western Han-輶軒使者絕代語釋別國方言-卷六,文云矔目多精也益州謂,瞋,曰矔吳楚謂瞋目顧視曰
瞋,6,Western Han-輶軒使者絕代語釋別國方言-卷六,益州謂瞋目曰矔吳楚謂,瞋,顧視曰眮注內慣習侹侗
瞋,6,Western Han-輶軒使者絕代語釋別國方言-卷七,  漢漫䀼眩{{䀼音,瞋,眩音懸}}懣也朝鮮洌
瞋,9,Han-周易鄭注-周易鄭注,可得而用薄守大卜荒孫,瞋,太此者當為此四者字阮
瞋,9,Han-前漢書-卷五十一至卷五十二,進為肌叩書策化師古曰,瞋,竹門刀反}}汁合里於
瞋,9,Han-前漢書-卷七十一至卷七十三,竭不復自還{{師吉日,瞋,}一{{肯顛蹙頌也仆
瞋,9,Han-前漢書-卷八十七上至卷八十七下,習之貫晉灼曰場雄方言,瞋,曰曜該業方呂曰權瞑目
瞋,9,Han-前漢書-卷九十至卷九十二,牛車二萬兩為僦{{酣,瞋,因}}來為一兩僦謂賈
瞋,9,Han-前漢書-卷九十九下,國昌莽自謂土也土行主,瞋,癸德在申宮宮又土也}
瞋,9,Han-前漢書-卷二十,  溪語弟手  共伯,瞋,{厲公賞子亶}}祭武
瞋,9,Han-周禮註疏-五,云作役事}}雕{{之,瞋,其治訟諸殷淳中可兼軍
瞋,9,Han-周禮註疏-六,然則唐虞歷二伏以某官,瞋,隧禮與其祭祀漢之大常
瞋,9,Han-周禮註疏-七,僖公二年上齊楯公會于,瞋,投管伸命諸侯天無易樹
瞋,9,Han-周禮註疏-九,咎寧貞早之屬順豐年而,瞋,之既歸逆避也彌讀曰枚
瞋,9,Han-周禮註疏-十一,民一男一女二餘隨濫仙,瞋,穀與揚州同門門匿隋仙
瞋,9,Han-周禮註疏-十二,宦男女也朋斷足也周改,瞋,則殺死刑也書傳曰決闢
瞋,9,Han-周禮註疏-十三,之艾住前佯彊邑陵愚疑,瞋,故此解之是其次正}}
瞋,9,Han-周禮註疏-十四,逃讀高借稷從風之榜婁,瞋,司馬相如上林賦云倚翟
瞋,9,Han-漢書評林-七,開誅蕩轅禪{{浮曰講,瞋,如迭誅之狀晴一帥古曰
瞋,9,Han-漢書評林-九,}封之隆燕齊之壓力士,瞋,視堅宣何神億祭祀致細
瞋,9,Han-漢書評林-十,{{不注丸從之陳涇勝,瞋,}}戒墮爪睡惑麓刪羈
瞋,9,Han-漢書評林-十三,戰跳慨樓州觀煩欲床羽,瞋,比之樓煩目不能視宇不
瞋,9,Han-漢書評林-十三,辦間而人而人對曰將軍,瞋,張膽謂酤相師贍出獸日
瞋,9,Han-漢書評林-十四,日正苴管臺支四月世繩,瞋,用事而壓穿奚祠急桓突
瞋,9,Han-漢書評林-十八,{{未坤冒畢論諧睡蕪,瞋,}}閔命之符也天下之
