query,dynFromId,meta,left,keyword,right
瞪,29,Liang-玉篇-卷二至卷五,墟之東南流沙中也}},瞪,{直耕切怒目直視皃}
瞪,29,Liang-六臣註文選-卷十一,而蹲踞也}}齊首目以,瞪,{直證}}眄徒眽眽{
瞪,29,Liang-六臣註文選-卷十一,獮音彌駢載曰齊首目以,瞪,頭而相觀視眽眽狋狋視
瞪,29,Liang-六臣註文選-卷十一,革切說文曰狋犬怒貌曰,瞪,視也脉脉獮獮亦視貌言
瞪,29,Liang-六臣註文選-卷十七,{{五臣作宛字}}轉,瞪,{遲證}}瞢{{莫亘
瞪,29,Liang-六臣註文選-卷十七,都遘切䖤轉動貌埤蒼曰,瞪,視也直耕切瞢視不審諦
瞪,29,Liang-六臣註文選-卷十七,理豈不致也宛轉盤旋也,瞪,視瞢昬也}}亂曰狀若
瞪,29,Liang-六臣註文選-卷十八,蚸蠖蚑行喘息垂喙䖤轉,瞪,忘飡說文曰蚑行也凡生
瞪,29,Liang-六臣註文選-卷四十五,{五臣本無方}}偃仰,瞪,{直孕}}眄謂足以夸
瞪,29,Liang-六臣註文選-卷四十五,魯靈光殿賦曰齊首目以,瞪,埤蒼曰瞪直視也濟曰陊
瞪,29,Liang-六臣註文選-卷四十五,曰齊首目以瞪眄埤蒼曰,瞪,視也濟曰陊壊機事也偃
瞪,29,Liang-六臣註文選-卷四十五,陊壊機事也偃仰驕傲貌,瞪,邪視自尊貌夸世謂夸其
瞪,13,Jin-陸士衡文集-卷第一,日陊危機將發而方偃仰,瞪,謂足以夸世𥬇古人之未
咪,13,Jin-南華真經註疏-卷十六　外篇天運第十四,下，彼不得夢，必且數,咪,。  〔注〕廢棄之物
咪,13,Jin-南華真經註疏-卷十六　外篇天運第十四,取莫曰蘇。爨，炊也。,咪,魘也。言芻狗未陳，致
咪,13,Jin-南華真經註疏-卷十六　外篇天運第十四,仁義。老聰曰：夫播糠,咪,，則天地四方易位矣；
咪,13,Jin-南華真經註疏-卷十六　外篇天運第十四,發辭則語仁義。夫播糠,咪,，目暗故不能辯束西；
咪,13,Jin-南華真經註疏-卷十六　外篇天運第十四,其本性，其為害也，豈,咪,嚕，膚而已哉。嚕，齧
䀹,29,Liang-玉篇-卷二至卷五,切目際也又才賜切}},䀹,{子葉切目旁毛也}}
䀹,30,Northern Qi-劉子新論-卷第四,知呂望，不以永日。眉,䀹,微而形於色；音聲之妙
眨,29,Liang-玉篇-卷二至卷五,{{女栗切小目也}},眨,{仄洽切目動也}}䀷
瞎,30,Northern Qi-魏書-列傳第六十七,求擊之，云：「臣當出,瞎,三千，生啖蜀子！」肅
瞎,30,Northern Qi-魏書-列傳第六十七,黃門徐紇曰：「此巴真,瞎,？」紇曰：「此是紹之
瞎,30,Northern Qi-魏書-列傳第六十七,，見敵無所畏懼，非實,瞎,。」帝大笑，敕紹速行
瞎,30,Northern Qi-魏書-列傳酷吏第七十七,酷暴為名。時人號曰「,瞎,」。尋為城門校尉，卒
瞎,30,Northern Qi-魏書-列傳第八十三 匈奴劉聰羯胡石勒鐵弗劉虎徒何慕容廆  臨渭氐苻健羌姚萇略陽氐呂光,之，問侍者曰：「吾聞,瞎,一淚，信乎？」侍者曰
瞎,30,Northern Qi-魏書-列傳第八十三 匈奴劉聰羯胡石勒鐵弗劉虎徒何慕容廆  臨渭氐苻健羌姚萇略陽氐呂光,望空城，鬱鬱何青青。,瞎,不知法，仰不見天星。
瞎,14,Northern and Southern-廣雅-卷二,}}裂也  鬝{{措,瞎,}𩮁{{口入}}𩮝{
瞎,14,Northern and Southern-廣雅-卷二,𩮁{{口入}}𩮝{{,瞎,}𩑔{{口本口骨}}
瞎,14,Northern and Southern-廣雅-卷二,{{落合}}搳{{可,瞎,}擿{{恥革}}搔也
瞎,29,Liang-玉篇-卷二至卷五,亡幸切視也又音萌}},瞎,{火轄切一目合也}}
瞎,29,Liang-玉篇-卷二至卷五,}}𪗾{{呼轄切又胡,瞎,齧堅聲}}𪙑{{七結
瞎,29,Liang-玉篇-卷二至卷五,垂切}}鬝{{苦閑口,瞎,切鬢禿也}}髧{{徒
瞎,29,Liang-玉篇-卷六至卷十,云與収同}}𢮟{{胡,瞎,手𢮟}}攕{{所咸切
瞎,29,Liang-玉篇-卷六至卷十,切挑戰也}}搳{{枯,瞎,說文云擖也}}擖{{
瞎,29,Liang-玉篇-卷六至卷十,{力竹切}}𠢆{{何,瞎,用力也}}劰{{莫角
瞎,29,Liang-玉篇-卷六至卷十,六切食皃}}𩝛{{胡,瞎,飽也}}𩝣{{都臘切
瞎,29,Liang-玉篇-卷十六至卷二十一,轄{{口外切車聲又胡,瞎,車鍵也}}𨌌{{章移
瞎,29,Liang-玉篇-卷二十二至卷二十六,二切硱磳}}砎{{下,瞎,石皃}}硂{{七泉切
瞎,29,Liang-玉篇-卷二十二至卷二十六,𧕐今作螬}}𧕱{{戶,瞎,螻蛄也}}𧓎{{邲移
瞎,29,Liang-玉篇-卷二十二至卷二十六,音域裘也}}𩏓{{下,瞎,}}𩎛{{音弗引棺繩
瞎,29,Liang-玉篇-卷二十七至卷三十,物囊}}帓{{亡撥莫,瞎,切帓巾也}}㠷{{古
瞎,29,Liang-宋書-卷三十一志第二十一　五行二,屠蘇鄣日覆兩耳，當見,瞎,作天子。」及趙王篡位
瞎,14,Northern and Southern-十六國春秋-卷三十五前秦録三,歲洪戲之問侍者曰吾聞,瞎,一淚信乎侍者曰然生怒
瞎,14,Northern and Southern-十六國春秋-卷三十五前秦録三,百里望空城鬰鬰何青青,瞎,不知法仰不見天星於是
瞎,14,Northern and Southern-世說新語-排調,軍在坐，云：「盲人騎,瞎,，夜半臨深池。」殷曰
目眩,13,Jin-肘後備急方-卷四,不順，胸膈壅塞，頭昏,目眩,涕唾痰涎，精神不爽。
目眩,13,Jin-肘後備急方-卷八,方，療暴得熱病，頭痛,目眩,并卒心腹痛，及欲霍亂
目眩,13,Jin-肘後備急方-卷八,二度，傷寒即止。頭旋,目眩,白癜風，極治。大風，
目眩,29,Liang-文選-卷二至卷三,來出此穴中入河水見日,目眩,水上流行七八千里釣人
目眩,29,Liang-文選-卷六至卷七,西都賦曰攀丹翰而未半,目眩,而意達舍靈檻而卻倚若
目眩,13,Jin-脈經-（守山閣叢書本）1,也脈前大後一小即頭痛,目眩,前小後大即胸滿短氣上
目眩,13,Jin-脈經-（守山閣叢書本）1, 軫得陽維脈浮者聖起,目眩,盛寶書看息酒酒如寒軫
目眩,13,Jin-脈經-（守山閣叢書本）1,夜半靜病先發於肝者頭,目眩,痛肢滿一日之脾閉塞不
目眩,13,Jin-脈經-（守山閣叢書本）1,引少腹而痛時小便難苦,目眩,痛腰背痛足為逆寒時灌
目眩,13,Jin-脈經-（守山閣叢書本）2,膠鬚寒目腫痛{{一云,目眩,}墨恪脈極虛乳握御清
目眩,13,Jin-脈經-（守山閣叢書本）2, 心下有淡飲胃協文滿,目眩,草{{草一作送}}湯
目眩,13,Jin-脈經-（守山閣叢書本）2,{目加出一}}欄{{,目眩,}其人振振身潤劇必有
目眩,13,Jin-脈經-（守山閣叢書本）2,別如外者足太陽也動苦,目眩,頸項腰背強痛也男子陰
目眩,13,Jin-南華真經註疏-卷五　內篇人間世第四,，故顏回心生惶怖，眼,目眩,者也。  而色將平之
目眩,13,Jin-南華真經註疏-卷二十　外篇至樂第十八,之爰居，非所養聽，故,目眩,悲，數日而死。亦猶三
目眩,13,Jin-南華真經註疏-卷二十三　外篇田子方第二十一,我觀汝有休惕之心，眼,目眩,，懷佝懼之志，汝於射
目眩,13,Jin-南華真經註疏-卷二十五　雜篇庚桑楚第二十三,，況外內俱韃乎。將耳,目眩,於外，而心衛流蕩於內
目眩,13,Jin-三國志·魏志-卷二十九至卷三十,右太祖苦頭風每發心亂,目眩,針高隨手而差{{佗別
目眩,13,Jin-三國志·吴志-卷十三至卷十六,政刑錯亂民力盡於奢侈,目眩,美色志濁於財寶邪臣在
目眩,29,Liang-六臣註文選-卷五,西都賦曰攀井幹而未半,目眩,而意迷舍靈檻而却倚若
目眩,29,Liang-六臣註文選-卷十一,亂煒煒煌煌皆光色亂動,目眩,而不定也}}隠陰夏以
目眩,12,Eastern Jin-博物志-博物志,美毛自愛其色終日映水,目眩,溺死鶴雉長毛雨雪惜共
目眩,13,Jin-新刊王氏脈經-卷第一,骨中也脉大後小即頭痛,目眩,前小後大即●滿短氣上
目眩,13,Jin-新刊王氏脈經-卷第二,陽明經俱實虛病苦頭痛,目眩,狂喉痺痛手臂捲脣吻不
目眩,13,Jin-新刊王氏脈經-卷第二, 診得陽維脉浮者蹔起,目眩,盛實苦肩息洒洒如寒診
