query,dynFromId,meta,left,keyword,right
睜,18,Northern Song-廣韻-上聲,也。疾郢切，十。  ,睜,眳睜不恱視也。  𩇕
睜,18,Northern Song-廣韻-上聲,郢切，十。  睜：眳,睜,恱視也。  𩇕：淸飾
睜,24,Ming-西遊記-靈根育孕源流出　心性修持大道生,，徑跳入瀑布泉中，忽,睜,擡頭觀看，那裡邊卻無
睜,24,Ming-西遊記-悟徹菩提真妙理　斷魔歸本合元神,水簾洞洞主？」悟空急,睜,觀看，只見那魔王： 
睜,24,Ming-西遊記-悟徹菩提真妙理　斷魔歸本合元神,頭落下。叫：「孩兒們,睜,。」眾猴腳屣實地，認
睜,24,Ming-西遊記-官封弼馬心何足　名注齊天意未寧,，擺開陣勢。這巨靈神,睜,觀看，真好猴王：  
睜,24,Ming-西遊記-官封弼馬心何足　名注齊天意未寧,」這巨靈神聞此言，急,睜,迎風觀看，果見門外豎
睜,24,Ming-西遊記-亂蟠桃大聖偷丹　反天宮諸神捉怪,七衣仙女，一個個睖睖,睜,，白著眼，都站在桃樹
睜,24,Ming-西遊記-亂蟠桃大聖偷丹　反天宮諸神捉怪,衣仙女，一個個睖睖睜,睜,白著眼，都站在桃樹之
睜,24,Ming-西遊記-觀音赴會問原因　小聖施威降大聖,紫金冠，騰出營門，急,睜,觀看，那真君的相貌果
睜,24,Ming-西遊記-觀音赴會問原因　小聖施威降大聖,，就不見了。」二郎圓,睜,目觀看，見大聖變了麻
睜,24,Ming-西遊記-觀音赴會問原因　小聖施威降大聖,鳥，只有一間小廟。急,睜,眼，仔細看之，見旗竿
睜,24,Ming-西遊記-八卦爐中逃大聖　五行山下定心猿,，只聽得爐頭聲響。猛,睜,看見光明，他就忍不住
睜,24,Ming-西遊記-八卦爐中逃大聖　五行山下定心猿,自低頭看看。」那大聖,睜,火眼金睛，低頭看時，
睜,24,Ming-西遊記-我佛造經傳極樂　觀音奉旨上長安,，你認得我麼？」大聖,睜,火眼金睛，點著頭兒高
睜,24,Ming-西遊記-陳光蕊赴任逢災　江流僧復讎報本,妻正齊齊上船，那劉洪,睜,看見殷小姐面如滿月，
睜,24,Ming-西遊記-陳光蕊赴任逢災　江流僧復讎報本,。眾人不勝驚駭。光蕊,睜,眼，早見殷小姐與丈人
睜,24,Ming-西遊記-老龍王拙計犯天條　魏丞相遺書託冥吏,折，手持利刃兇驍。圓,睜,眼四邊瞧，那個邪神敢
睜,24,Ming-西遊記-唐王秉誠修大會　觀音顯聖化金蟬,我等在此。」宮主擡頭,睜,觀看道：「你是誰人，
睜,24,Ming-西遊記-孫行者大鬧黑風山　觀世音收伏熊羆怪,閃在門外，執著鐵棒，,睜,觀看，只見那怪果生得
睜,24,Ming-西遊記-黃風嶺唐僧有難　半山中八戒爭先,鋼牙錯嚙，滴流流火眼,睜,，掣鐵棒喝道：「你多
睜,24,Ming-西遊記-護法設莊留大聖　須彌靈吉定風魔,睛刮得緊緊閉合，莫能,睜,。因此難使鐵棒，遂敗
睜,24,Ming-西遊記-護法設莊留大聖　須彌靈吉定風魔,伏在山凹之間，也不敢,睜,，不敢擡頭，口裡不住
睜,24,Ming-西遊記-護法設莊留大聖　須彌靈吉定風魔,與行者點上，教他不得,睜,，寧心睡覺，明早就好
睜,24,Ming-西遊記-護法設莊留大聖　須彌靈吉定風魔,更將曉。行者抹抹臉，,睜,眼道：「果然好藥，比
睜,24,Ming-西遊記-護法設莊留大聖　須彌靈吉定風魔,怎的？」行者道：「你,睜,眼睛看看。」獃子忽擡
睜,24,Ming-西遊記-護法設莊留大聖　須彌靈吉定風魔,叮了一個大疙疸。」忽,睜,道：「天亮了。」又聽
睜,24,Ming-西遊記-八戒大戰流沙河　木叉奉法收悟淨,忽聽推得水響，急回頭,睜,觀看，見八戒執鈀來至
睜,24,Ming-西遊記-三藏不忘本　四聖試禪心,，不覺的東方發白。忽,睜,擡頭觀看，那裡得那大
睜,24,Ming-西遊記-鎮元仙趕捉取經僧　孫行者大鬧五莊觀,個大聖鋼牙咬響，火眼,睜,，把條金箍棒揝了又揝
睜,24,Ming-西遊記-鎮元仙趕捉取經僧　孫行者大鬧五莊觀,魔。  二人方醒，忽,睜,，抹抹臉，擡頭觀看，
睜,24,Ming-西遊記-鎮元仙趕捉取經僧　孫行者大鬧五莊觀,打。行者恐仙家法大，,睜,眼瞅定，看他打那裡。
睜,24,Ming-西遊記-屍魔三戲唐三藏　聖僧恨逐美猴王,上雲端裡，手搭涼篷，,睜,觀看。可憐西方路甚是
睜,24,Ming-西遊記-屍魔三戲唐三藏　聖僧恨逐美猴王,，一觔斗，點將回來，,睜,眼金睛觀看，認得那女
睜,24,Ming-西遊記-花果山群妖聚義　黑松林三藏逢魔,至花果山。按落雲頭，,睜,觀看，那山上花草俱無
睜,24,Ming-西遊記-脫難江流來國土　承恩八戒轉山林,，咬響鋼牙；滴溜溜，,睜,環眼；雄糾糾，舉起刀
睜,24,Ming-西遊記-豬八戒義激猴王　孫行者智降妖怪,個立地把身搖。那個大,睜,眼伸猿臂，這個明幌金
睜,24,Ming-西遊記-豬八戒義激猴王　孫行者智降妖怪,主引入朝中去罷。不要,睜,，兄弟們使個縮地法來
睜,24,Ming-西遊記-豬八戒義激猴王　孫行者智降妖怪, 長老現了原身，定性,睜,，才認得是行者。一把
睜,24,Ming-西遊記-平頂山功曹傳信　蓮花洞木母逢災,看來。」  好大聖，,睜,火眼金睛，漫山越嶺的
睜,24,Ming-西遊記-平頂山功曹傳信　蓮花洞木母逢災,。行者道：「這夯貨大,睜,兩個眼，連自家人也認
睜,24,Ming-西遊記-外道迷真性　元神助本心,神念咒來。」那小妖都,睜,眼，看他怎麼樣裝天。
睜,24,Ming-西遊記-外道施威欺正性　心猿獲寶伏邪魔,上罩紅袍烈火然。圓眼,睜,光掣電，鋼鬚飄起亂飛
睜,24,Ming-西遊記-鬼王夜謁唐三藏　悟空神化引嬰兒,，一觔斗，跳在空中。,睜,眼平西看處，果見有一
睜,24,Ming-西遊記-嬰兒問母知邪正　金木參玄見假真,。他卻著實又一淬，忽,睜,見有一座牌樓，上有「
睜,24,Ming-西遊記-嬰兒問母知邪正　金木參玄見假真,，馱上來了。」那行者,睜,看處，真個的背在身上
睜,24,Ming-西遊記-一粒丹砂天上得　三年故主世間生,他原來跳在九霄雲裡，,睜,四望，看那魔王哩。只
睜,24,Ming-西遊記-心猿遭火敗　木母被魔擒,我們在這裡哩。」行者,睜,眼道：「兄弟們在這裡
睜,24,Ming-西遊記-心猿遭火敗　木母被魔擒,就敢請菩薩降我？你大,睜,兩個眼，還不認得我是
睜,24,Ming-西遊記-大聖慇懃拜南海　觀音慈善縛紅孩,見沒了行者。走近前，,睜,眼，對菩薩道：「你是
睜,24,Ming-西遊記-法身元運逢車力　心正妖邪度脊關,，踏雲光，起在空中，,睜,觀看，遠見一座城池。
睜,24,Ming-西遊記-外道弄強欺正法　心猿顯聖滅諸邪,伸手一摸，就笑得呆呆,睜,道：「妙哉，妙哉！卻
睜,24,Ming-西遊記-外道弄強欺正法　心猿顯聖滅諸邪,手一摸，就笑得呆呆睜,睜,：「妙哉，妙哉！卻也
睜,24,Ming-西遊記-三藏有災沉水宅　觀音救難現魚籃,婆，兩三跳跳到門裡。,睜,看時，只見那怪坐在上
睜,24,Ming-西遊記-三藏有災沉水宅　觀音救難現魚籃,裡邊蹕。拽步入深林，,睜,偷覷著。遠觀救苦尊，
睜,24,Ming-西遊記-情亂性從因愛慾　神昏心動遇魔頭,再走。」行者聞言，急,睜,看，只見那壁廂兇雲隱
睜,24,Ming-西遊記-悟空大鬧金兜洞　如來暗示主人公,牙咬響；滴溜溜，環眼,睜,。挺著長槍，帶了寶貝
睜,24,Ming-西遊記-禪主吞餐懷鬼孕　黃婆運水解邪胎,阻住雲角。即按雲光，,睜,看處，好山！但見那：
睜,24,Ming-西遊記-色邪淫戲唐三藏　性正修持不壞身,孫問他去來。」行者急,睜,看，只見頭直上有祥雲
睜,24,Ming-西遊記-荊棘嶺悟能努力　木仙庵三藏談詩,。」那長老卻才定性，,睜,仔細觀看。真個是： 
睜,24,Ming-西遊記-諸神遭毒手　彌勒縛妖魔,在須臾間矣。」行者急,睜,跳起來看，原來是日值
睜,24,Ming-西遊記-拯救駝羅禪性穩　脫離穢污道心清,沙僧蒙著頭臉，眼也難,睜,  行者聞風認怪，一
睜,24,Ming-西遊記-行者假名降怪犼　觀音現像伏妖王,「娘娘開眼。」那皇后,睜,眼看，認得是鳳閣龍樓
睜,24,Ming-西遊記-比丘憐子遣陰神　金殿識魔談道德,猛然驚覺，麻麻糊糊的,睜,眼，看見行者，連忙跪
睜,24,Ming-西遊記-尋洞擒妖逢老壽　當朝正主救嬰兒,」  那國丈聽見，急,睜,仔細觀看，見那和尚變
睜,24,Ming-西遊記-鎮海寺心猿知怪　黑松林三眾尋師,酒，輕輕呼了六七鍾。,睜,一雙不白不黑的金睛眼
睜,24,Ming-西遊記-鎮海寺心猿知怪　黑松林三眾尋師,芳心嗔黑禿，一個兒圓,睜,眼恨新妝。兩手劍飛，
睜,24,Ming-西遊記-姹女求陽　元神護道,看。」  好大聖，急,睜,眼金睛，漫山看處，果
睜,24,Ming-西遊記-難滅伽持圓大覺　法王成正體天然,，驚醒國王。那國王急,睜,，見皇后的頭光，他連
睜,24,Ming-西遊記-心猿妒木母　魔主計吞禪,空。用手搭在眉上，圓,睜,眼，向下觀之，果見那
睜,24,Ming-西遊記-木母助威征怪物　金公施法滅妖邪,閃過，使杵抵住鐵棒，,睜,眼問道：「你這嘴臉像
睜,24,Ming-西遊記-黃獅精虛設釘鈀宴　金木土計鬧豹頭山,把兩個狼頭精定住。眼,睜,，口也難開；直挺挺，
睜,24,Ming-西遊記-黃獅精虛設釘鈀宴　金木土計鬧豹頭山,兩個狼頭精定住。眼睜,睜,口也難開；直挺挺，雙
睜,24,Ming-西遊記-假合真形擒玉兔　真陰歸正會靈元,毘盧帽頂上，運神光，,睜,眼金睛觀看。又只見那
睜,24,Ming-西遊記-金酬外護遭魔蟄　聖顯幽魂救本原,來名，一個個咬著牙，,睜,眼，撒著手，直直的站
睜,24,Ming-西遊記-金酬外護遭魔蟄　聖顯幽魂救本原,甚疏失。行者近前努目,睜,，厲聲高叫道：「我的
睜,18,Northern Song-太平御覽-布帛部六,合，輕騎挑戰。侯安都,睜,橫矛，單騎突陣，四向
睜,18,Northern Song-太平御覽-飲食部四,為瘦。」真愈恚，拔刀,睜,，言：「俳敢輕說，吾
睜,18,Northern Song-太平御覽-咎徵部三,三年二月，大風暴雨，,睜,怗門。至六年，壽死，
睜,18,Northern Song-太平御覽-咎徵部七,地震，臣下強盛，地故,睜,匽，冀所以警悟人主，
睜,25,Qing-儒林外史-說楔子敷陳大義　借名流隱括全文,臉。少頃，風聲略定，,睜,看時，只見天上紛紛有
睜,25,Qing-儒林外史-王秀才議立偏房　嚴監生疾終正寢,吩咐明白？」他把兩眼,睜,溜圓，把頭又狠狠搖了
睜,25,Qing-儒林外史-鄉紳發病鬧船家　寡婦含冤控大伯,著，一鬨去了。船家眼,睜,看著他走去了  嚴貢
睜,25,Qing-儒林外史-鄉紳發病鬧船家　寡婦含冤控大伯,，一鬨去了。船家眼睜,睜,著他走去了  嚴貢生
睜,25,Qing-儒林外史-鄉紳發病鬧船家　寡婦含冤控大伯,要開口說話，被嚴貢生,睜,眼睛，喝了一聲，又不
睜,25,Qing-儒林外史-婁公子捐金贖朋友　劉守備冒姓打船家,道：「狗攮的奴才！你,睜,驢眼看看燈籠上的字！
睜,25,Qing-儒林外史-魯小姐制義難新郎　楊司訓相府薦賢士,喫。楊執中罵他，他還,睜,醉眼混回嘴。楊執中急
睜,25,Qing-儒林外史-名士大宴鶯脰湖　俠客虛設人頭會,，夜役喝著叫他跪，他,睜,眼不肯跪。  這時街
睜,25,Qing-儒林外史-名士大宴鶯脰湖　俠客虛設人頭會,了。把個權勿用氣的眼,睜,，敢怒而不敢言，真是
