['管仲', [-725, -645]]
['墨翟', [-468, -376]]
['列禦寇', [-450, -375]]
['韓非', [-281, -233]]
['伏勝', [-250, -150]]
['呂不韋', [-235]]
['賈誼', [-200, -168]]
['韓嬰', [-200, -130]]
['劉安', [-179, -122]]
['董仲舒', [-179, -104]]
['東方朔', [-154, -93]]
['司馬遷', [-145, -50]]
['揚雄', [-53, 18]]
['劉歆', [-50, 23]]
['王充', [27, 97]]
['許慎', [30, 124]]
['班固', [32, 92]]
['班昭', [49, 120]]
['王符', [83, 170]]
['趙岐', [108, 201]]
['鄭玄', [127, 200]]
['鄭康成', [127, 200]]
['蔡邕', [133, 192]]
['荀悅', [148, 209]]
['荀悦', [148, 209]]
['宋衷', [150, 219]]
['張機', [150, 219]]
['應劭', [150]]
['諸葛亮', [181, 234]]
['曹植', [192, 232]]
['何晏', [196, 249]]
['韋昭', [201, 273]]
['華佗', [208]]
['王叔和', [210, 258]]
['皇甫謐', [215, 282]]
['杜預', [222, 285]]
['嵇康', [223, 263]]
['劉徽', [225, 295]]
['陳壽', [233, 297]]
['郭象', [252, 312]]
['陸機', [261, 303]]
['陸雲', [262, 303]]
['郭璞', [276, 324]]
['葛洪', [283, 343]]
['劉熙', [312, 329]]
['袁宏', [328, 376]]
['許謙', [334, 396]]
['范宁', [339, 401]]
['范甯', [339, 401]]
['陶潛', [365, 427]]
['劉義慶', [403, 444]]
['沈約', [441, 513]]
['陶弘景', [456, 536]]
['劉勰', [465, 522]]
['酈道元', [466, 527]]
['周興嗣', [469, 521]]
['崔鴻', [478, 525]]
['蕭子顯', [487, 537]]
['蕭統', [501, 531]]
['魏收', [507, 572]]
['徐陵', [507, 583]]
['蕭繹', [508, 555]]
['庾信', [513, 581]]
['庾季才', [516, 603]]
['顧野王', [519, 581]]
['顏之推', [531, 591]]
['顔之推', [531, 591]]
['陸德明', [550, 630]]
['蕭吉', [550, 614]]
['歐陽詢', [557, 641]]
['姚思廉', [557, 637]]
['虞世南', [558, 638]]
['李百藥', [565, 648]]
['孔穎達', [574, 648]]
['房玄齡', [579, 648]]
['魏徵', [580, 643]]
['顏師古', [581, 645]]
['孫思邈', [581, 682]]
['令狐德棻', [583, 666]]
['許敬宗', [592, 672]]
['長孫無忌', [594, 659]]
['李淳風', [602, 670]]
['玄奘', [602]]
['武則天', [624, 705]]
['李治', [628, 683]]
['王勃', [650, 676]]
['李簡', [650, 631]]
['張鷟', [658, 730]]
['徐堅', [659, 729]]
['蕭嵩', [660, 749]]
['陳子昂', [661, 702]]
['劉知幾', [661, 721]]
['張說', [667, 731]]
['吳兢', [670, 749]]
['張九齡', [678, 740]]
['李隆基', [685, 762]]
['唐玄宗', [685, 762]]
['孟浩然', [689, 740]]
['王維', [692, 761]]
['李白', [701, 762]]
['顏真卿', [709, 785]]
['杜甫', [712, 770]]
['岑參', [715, 770]]
['獨孤及', [726, 777]]
['杜佑', [735, 812]]
['釋慧琳', [736, 820]]
['竇常', [746, 825]]
['孟郊', [751, 814]]
['陸贄', [754, 805]]
['歐陽詹', [755, 800]]
['李吉甫', [758, 814]]
['權德輿', [759, 818]]
['高適', [765]]
['韓愈', [768, 824]]
['劉禹錫', [772, 842]]
['白居易', [772, 846]]
['柳宗元', [773, 819]]
['皇甫湜', [777, 835]]
