name,birth_year,mort_year,mid_year,age,urn,title,dynaspan,year_source,dynaspan_yearfrom,dynaspan_yearto,valid_birth_year
孙奭,962,1033,,,wb47075,孟子注疏,宋元,post_edit,960,1368,FALSE
贾公彦,NA,NA,NA,NA,wb906189,儀禮注疏,唐五代十國,post_edit,581,1125,FALSE
贾公彦,NA,NA,NA,NA,wb206690,周禮注疏,唐五代十國,post_edit,581,1125,FALSE
葛洪(宋),1152,1237,,,wb215369,涉史隨筆,宋元,post_edit,960,1368,FALSE
许谦(元),1270,1337,,,wb388497,讀四書叢說,宋元,post_edit,960,1368,FALSE
许谦(元),1270,1337,,,wb693806,讀書叢說,宋元,post_edit,960,1368,FALSE
许谦(元),1270,1337,,,wb641883,詩集傳名物鈔,宋元,post_edit,960,1368,FALSE
NA,NA,NA,NA,NA,wb797784,水經注,清,post_edit,1644,1911,FALSE
NA,NA,NA,NA,NA,wb990315,玉臺新詠,清,post_edit,1644,1911,FALSE
李治(元),1192,1279,,,wb306296,測圓海鏡分類釋術,宋元,post_edit,960,1368,FALSE
李简,NA,NA,NA,NA,wb557455,學易記,宋元,post_edit,960,1368,FALSE
NA,NA,NA,NA,NA,wb649863,宗玄先生文集,清,post_edit,1644,1911,FALSE
NA,NA,NA,NA,NA,wb871333,宗玄先生玄綱論,清,post_edit,1644,1911,FALSE
NA,NA,NA,NA,NA,wb610261,秘傳正陽真人靈寶畢法,宋元,post_edit,960,1368,FALSE
王煦,NA,NA,NA,NA,wb492933,說文五翼,清,post_edit,1644,1911,FALSE
NA,NA,NA,NA,NA,wb467891,靖康要錄,清,post_edit,1644,1911,FALSE
宋慈,1186,1249,,,wb447988,重刊補註洗寃錄集證,清,post_edit,1644,1911,FALSE
王又槐,1844,1844,,,wb447988,重刊補註洗寃錄集證,清,post_edit,1644,1911,FALSE
朱丹溪,1281,1358,,,wb834019,脈因証治,清,post_edit,1644,1911,FALSE
湯望久,1844,1844,,,wb834019,脈因証治,清,post_edit,1644,1911,FALSE
王冕,1287,1359,,,wb834409,竹齋集,明,post_edit,1368,1644,FALSE
朱松(宋),1097,1143,,,wb785765,韋齋集,宋元,post_edit,960,1368,FALSE
余金(清),NA,NA,NA,NA,wb686681,熙朝新語,清,post_edit,1644,1911,FALSE
錢泳,1759,1844,,,wb686681,熙朝新語,清,post_edit,1644,1911,FALSE
许起(清),NA,NA,NA,NA,wb234835,珊瑚舌雕談初筆,清,post_edit,1644,1911,FALSE
王韜,1828,1897,,,wb234835,珊瑚舌雕談初筆,清,post_edit,1644,1911,FALSE
李介,1445,1498,,,wb257495,天香閣隨筆,清,post_edit,1644,1911,FALSE
伍崇曜,1810,1863,,,wb257495,天香閣隨筆,清,post_edit,1644,1911,FALSE
张应昌,1789,1874,,,wb165999,彝壽軒詩鈔,清,post_edit,1644,1911,FALSE
张应昌,1789,1874,,,wb207813,國朝詩鐸,清,post_edit,1644,1911,FALSE
季振宜,1630,1674,,,wb890383,季滄葦藏書目,清,post_edit,1644,1911,FALSE
褚人获,1635,1682,,,wb841638,堅瓠集,清,post_edit,1644,1911,FALSE
庄廷鑨,1585,1655,,,wb914983,明史鈔略,明,post_edit,1368,1644,FALSE
全祖望,1705,1755,,,wb875470,鮚埼亭集,明,post_edit,1368,1644,FALSE
NA,NA,NA,NA,NA,wb586663,五代史記纂誤補,唐五代十國,post_edit,581,1125,FALSE
NA,NA,NA,NA,NA,wb225844,儀禮私箋,唐五代十國,post_edit,581,1125,FALSE
NA,NA,NA,NA,NA,wb354539,汗簡箋正,唐五代十國,post_edit,581,1125,FALSE
刘鹗(元),1290,1364,,,wb108214,惟實集,宋元,post_edit,960,1368,FALSE
徐谦(明),1374,1374,,,wb542919,仁端錄,明,post_edit,1368,1644,FALSE
胡翰(明),1307,1381,,,wb318081,胡仲子集,明,post_edit,1368,1644,FALSE
舒天民(元),NA,NA,NA,NA,wb245044,六藝綱目,宋元,post_edit,960,1368,FALSE
宋子安(宋),1906,1969,,,wb365043,東溪試茶錄,宋元,post_edit,960,1368,FALSE
王德瑛(清),1835,1835,,,wb334349,舞陽縣志,清,post_edit,1644,1911,FALSE
吕中,NA,NA,NA,NA,wb407494,宋大事記講義,宋元,post_edit,960,1368,FALSE
周济,1781,1893,,,wb508603,詞辨,清,post_edit,1644,1911,FALSE
陈玉树,NA,NA,NA,NA,wb369472,毛詩異文箋,清,post_edit,1644,1911,FALSE
王希明,NA,NA,NA,NA,wb58486,太乙金鏡式經,唐五代十國,post_edit,581,1125,FALSE
陈炜,NA,NA,NA,NA,wb350572,經傳釋義,明,post_edit,1368,1644,FALSE
许嵩,NA,NA,NA,NA,wb925505,建康實錄,唐五代十國,post_edit,581,1125,FALSE
张昱,NA,NA,NA,NA,wb261149,可閒老人集,明,post_edit,1368,1644,FALSE
